eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
914136,GUTE,1912,8,17,19,11,48.0,nan,127.0,4.0,nan,nan,nan,35.0,nan,7.5,0.2,
16958206,ISC-GEM,1912,8,17,19,11,56.32,nan,125.973,3.568,18.8,8.6,nan,35.0,30.6,7.49,0.2,
16958216,ISC-GEM,1912,11,3,6,4,34.86,nan,121.028,23.699,98.1,25.1,nan,25.0,7.2,6.27,0.41,
610326390,ISC-GEM,1912,11,8,7,53,23.17,nan,124.002,12.688,46.9,28.6,nan,15.0,8.0,6.2,0.86,
914027,ISC-GEM,1913,1,8,19,16,50.86,nan,121.029,22.734,60.9,23.7,nan,15.0,6.2,6.2,0.2,
914043,ISC-GEM,1913,3,14,8,45,5.37,nan,125.891,5.544,20.3,8.4,nan,15.0,14.7,7.88,0.33,
914047,ISC-GEM,1913,3,26,21,35,49.96,nan,126.719,1.928,56.3,35.7,nan,70.0,20.0,6.21,0.2,
914055,ISC-GEM,1913,4,18,13,13,21.25,nan,125.725,8.21,34.3,16.5,nan,15.0,16.3,6.27,0.38,
914058,ISC-GEM,1913,4,24,10,15,25.29,nan,125.813,9.895,17.2,12.9,nan,15.0,18.0,6.63,0.21,
914060,ISC-GEM,1913,4,25,17,56,33.93,nan,126.843,9.265,23.9,9.0,nan,15.0,11.8,7.19,0.48,
914062,ISC-GEM,1913,4,26,4,21,5.62,nan,127.845,8.698,44.7,21.5,nan,15.0,25.0,6.45,0.32,
914063,ISC-GEM,1913,4,28,18,39,26.2,nan,125.291,9.275,26.9,9.9,nan,15.0,16.1,6.33,0.32,
913996,GUTE,1914,7,6,6,37,30.0,nan,122.0,24.0,nan,nan,nan,60.0,nan,6.8,0.2,
914014,ISC-GEM,1914,10,23,6,18,45.56,nan,128.022,4.206,24.4,12.2,nan,35.0,31.1,7.48,0.34,
913884,ISC-GEM,1915,2,28,18,59,11.1,nan,123.668,23.582,13.7,7.1,nan,20.0,7.1,7.21,0.57,
913886,GUTE,1915,3,12,14,48,30.0,nan,124.0,12.0,nan,nan,nan,40.0,nan,7.0,0.2,
913886,ISC-GEM,1915,3,12,14,48,32.48,nan,122.695,11.844,20.9,10.3,nan,15.0,6.5,6.82,0.39,
913921,ISC-GEM,1915,7,2,13,23,29.67,nan,120.313,19.723,49.4,7.7,nan,15.0,16.0,5.96,0.38,
16958285,ISC-GEM,1915,7,23,17,17,59.18,nan,120.893,23.341,113.4,64.2,nan,15.0,7.2,5.62,0.2,
913940,GUTE,1915,9,11,23,59,12.0,nan,123.5,5.5,nan,nan,nan,600.0,nan,6.8,0.2,
913952,ISC-GEM,1915,11,18,20,19,26.59,nan,119.21,17.941,18.9,10.0,nan,15.0,25.0,6.27,0.21,
913764,ISC-GEM,1916,2,14,10,1,46.13,nan,126.465,3.544,27.4,8.8,nan,70.0,19.1,6.44,0.2,
913812,ISC-GEM,1916,6,9,21,24,26.9,nan,126.867,6.243,20.2,14.5,nan,35.0,40.3,6.31,0.31,
913834,ISC-GEM,1916,8,8,18,53,9.37,nan,120.345,18.848,23.3,11.7,nan,15.0,10.2,6.03,0.28,
16958303,ISC-GEM,1916,8,28,7,27,5.03,nan,122.258,21.855,44.1,25.8,nan,15.0,25.0,6.96,0.21,
913866,ISC-GEM,1916,11,14,22,31,41.9,nan,120.432,23.839,34.1,13.0,nan,15.0,2.7,6.39,0.2,
913392,ISC-GEM,1917,1,10,13,19,21.85,nan,125.453,9.162,69.4,24.9,nan,15.0,27.9,5.72,0.29,
913413,ISC-GEM,1917,2,18,1,22,47.8,nan,123.238,11.287,29.8,17.1,nan,15.0,25.0,5.88,0.27,
913420,ISC-GEM,1917,2,25,5,45,58.94,nan,125.743,12.969,22.4,20.2,nan,15.0,13.1,6.07,0.2,
913652,ISC-GEM,1917,9,7,22,22,45.91,nan,123.367,14.144,64.8,36.3,nan,15.0,22.4,5.95,0.27,
913694,ISC-GEM,1917,11,13,19,59,37.5,nan,115.847,8.832,29.2,16.6,nan,35.0,25.0,5.91,0.36,
913702,ISC-GEM,1917,11,16,22,17,3.33,nan,126.594,5.409,14.2,8.8,nan,65.0,24.0,6.62,0.21,
913072,ISC-GEM,1918,2,13,6,7,16.52,nan,117.004,23.609,10.5,10.0,nan,15.0,25.0,7.37,0.42,
913138,ISC-GEM,1918,5,4,6,6,11.45,nan,120.041,21.569,18.5,11.3,nan,15.0,7.9,6.37,0.51,
913166,ISC-GEM,1918,6,8,20,13,29.64,nan,128.72,3.273,26.7,15.9,nan,35.0,19.5,6.02,0.61,
913190,ISC-GEM,1918,7,1,6,8,35.35,nan,126.478,8.945,18.9,10.6,nan,35.0,15.8,6.75,0.2,
913230,ISC-GEM,1918,8,15,12,18,24.83,nan,123.994,5.538,18.4,10.5,nan,20.0,25.0,8.3,0.4,
913232,ISC-GEM,1918,8,15,17,30,11.21,nan,125.751,5.232,13.6,10.3,nan,15.0,23.1,6.74,0.51,
913239,ISC-GEM,1918,8,18,6,4,58.07,nan,123.321,4.367,48.6,39.4,nan,15.0,10.2,6.12,0.2,
912699,ISC-GEM,1919,1,1,1,33,50.26,nan,126.526,6.808,12.3,8.3,nan,35.0,32.9,7.21,0.41,
912747,GUTE,1919,3,21,1,2,23.0,nan,123.0,13.0,nan,nan,nan,50.0,nan,6.5,0.2,
912747,ISC-GEM,1919,3,21,1,2,43.8,nan,120.049,14.323,22.2,18.1,nan,35.0,11.0,6.68,0.2,
912750,ISC-GEM,1919,3,21,17,29,26.13,nan,127.054,3.3,151.9,21.8,nan,35.0,22.4,6.05,0.2,
912770,ISC-GEM,1919,4,27,0,21,59.93,nan,120.429,12.351,17.8,9.2,nan,15.0,13.7,6.57,0.92,
912787,ISC-GEM,1919,5,16,1,0,7.2,nan,124.772,22.647,48.0,13.1,nan,15.0,25.0,6.21,0.23,
912960,ISC-GEM,1919,9,26,9,6,55.91,nan,119.987,17.519,18.1,12.3,nan,35.0,19.7,6.71,0.27,
912961,ISC-GEM,1919,9,26,19,39,43.57,nan,124.214,6.864,13.7,9.5,nan,35.0,25.0,6.6,0.2,
913021,ISC-GEM,1919,12,20,20,37,34.18,nan,121.787,22.529,12.3,7.1,nan,20.0,11.2,7.4,0.28,
912496,ISC-GEM,1920,5,19,3,10,53.19,nan,119.305,2.511,20.7,10.6,nan,35.0,25.0,6.26,0.29,
912519,ISC-GEM,1920,6,5,4,21,35.17,nan,121.954,23.688,8.9,6.6,nan,20.0,9.8,8.23,0.33,
912572,ISC-GEM,1920,8,3,3,1,59.24,nan,127.892,5.901,21.2,10.7,nan,15.0,25.0,6.28,0.2,
912574,ISC-GEM,1920,8,5,19,1,22.57,nan,122.63,19.596,49.1,26.6,nan,15.0,25.0,5.81,0.2,
912164,ISC-GEM,1921,2,14,1,0,51.92,nan,128.892,5.146,32.4,11.9,nan,15.0,25.0,6.32,0.21,
912199,ISC-GEM,1921,4,2,9,36,52.63,nan,124.821,23.879,12.7,7.6,nan,15.0,8.2,6.95,0.42,
912236,ISC-GEM,1921,5,21,8,42,12.61,nan,125.635,12.67,20.0,11.3,nan,35.0,11.1,6.5,0.43,
912276,GUTE,1921,7,15,18,6,22.0,nan,128.0,2.0,nan,nan,nan,140.0,nan,6.0,0.2,
912362,ISC-GEM,1921,11,11,18,36,18.34,nan,127.151,7.452,15.9,7.9,nan,15.0,16.3,7.44,0.21,
911859,ISC-GEM,1922,4,7,15,58,19.95,nan,120.326,22.94,12.8,7.8,nan,15.0,5.9,6.07,0.31,
911875,ISC-GEM,1922,4,23,21,30,46.7,nan,123.392,12.106,32.1,29.8,nan,35.0,25.0,6.23,0.49,
911901,ISC-GEM,1922,5,16,8,6,58.4,nan,120.699,19.951,24.0,8.0,nan,35.0,6.0,6.16,1.52,
911905,ISC-GEM,1922,5,22,18,4,47.83,nan,120.227,23.842,15.5,8.4,nan,15.0,7.7,6.08,0.59,
911996,ISC-GEM,1922,8,29,17,1,7.75,nan,121.855,12.201,16.0,9.8,nan,15.0,3.1,6.77,0.26,
912005,ISC-GEM,1922,9,6,22,12,5.17,nan,122.96,23.824,24.0,9.8,nan,13.0,7.8,6.28,0.27,
911301,ISC-GEM,1923,3,2,16,48,34.06,nan,124.873,7.641,12.9,9.8,nan,15.0,10.0,7.18,0.52,
911315,ISC-GEM,1923,3,16,22,1,44.58,nan,127.323,6.528,12.6,8.1,nan,35.0,16.6,6.89,0.3,
911334,ISC-GEM,1923,4,19,3,9,13.61,nan,117.432,2.536,12.2,8.1,nan,35.0,25.0,6.81,0.2,
911428,ISC-GEM,1923,7,2,2,31,55.89,nan,123.046,23.069,15.6,9.8,nan,25.0,14.5,6.58,0.52,
911497,ISC-GEM,1923,8,11,0,54,43.21,nan,118.26,5.252,13.7,10.0,nan,35.0,25.0,6.55,0.2,
910911,ISC-GEM,1924,4,14,16,20,37.49,nan,126.167,6.625,11.4,7.0,nan,15.0,51.3,8.12,0.66,
910942,ISC-GEM,1924,5,6,16,9,27.89,nan,119.261,15.899,10.2,7.9,nan,15.0,10.8,6.86,0.41,
910955,ISC-GEM,1924,5,16,12,50,57.09,nan,124.917,11.025,31.1,22.0,nan,15.0,13.3,5.95,0.45,
911039,ISC-GEM,1924,7,22,14,23,53.05,nan,121.881,23.589,11.0,8.6,nan,15.0,9.8,6.93,0.2,
911077,ISC-GEM,1924,8,30,3,4,59.86,nan,126.942,8.982,10.7,7.1,nan,15.0,16.2,7.19,0.42,
911107,ISC-GEM,1924,9,11,3,25,42.97,nan,126.771,5.795,22.8,13.2,nan,35.0,40.3,6.48,0.2,
911120,ISC-GEM,1924,9,14,14,8,8.44,nan,127.467,9.9,31.1,11.8,nan,15.0,25.0,6.51,0.2,
911174,ISC-GEM,1924,10,27,19,57,12.37,nan,124.117,7.054,14.1,9.1,nan,20.0,25.0,6.23,0.2,
910439,ISC-GEM,1925,4,7,18,5,41.52,nan,126.722,7.569,15.2,8.4,nan,25.0,36.0,6.37,0.2,
910450,ISC-GEM,1925,4,16,19,52,40.38,nan,121.096,21.786,6.7,4.9,nan,15.0,10.6,7.13,0.36,
910478,ISC-GEM,1925,5,5,10,6,14.19,nan,123.044,9.798,9.2,7.0,nan,15.0,4.5,6.82,0.48,
910488,ISC-GEM,1925,5,7,12,11,43.47,nan,125.672,12.85,17.9,14.3,nan,35.0,13.1,6.23,0.3,
910513,ISC-GEM,1925,5,25,3,43,19.96,nan,121.992,12.586,13.8,8.9,nan,35.0,13.5,6.35,0.31,
910516,ISC-GEM,1925,5,26,15,37,12.21,nan,122.716,23.83,14.7,8.5,nan,35.0,14.3,6.31,0.23,
910715,GUTE,1925,10,18,8,25,58.0,nan,128.0,3.5,nan,nan,nan,220.0,nan,6.2,0.2,
910715,ISC-GEM,1925,10,18,8,26,1.86,nan,126.408,4.8,43.4,13.7,nan,35.0,35.9,5.97,0.61,
910734,ISC-GEM,1925,11,13,12,14,50.93,nan,124.719,12.734,8.8,5.9,nan,20.0,53.1,7.24,0.2,
910735,ISC-GEM,1925,11,14,8,10,56.21,nan,125.434,12.311,14.5,9.1,nan,35.0,11.1,6.06,0.7,
