eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,str1,dip1,rake1,str2,dip2,rake2
913420,ISC-GEM,1917,2,25,5,45,58.94,,125.743,12.969,22.4,20.2,,15,13.1,6.07,0.2,,,,,,
913702,ISC-GEM,1917,11,16,22,17,3.33,,126.594,5.409,14.2,8.8,,65,24,6.62,0.21,,,,,,
913057,ISC-GEM,1918,2,7,5,20,20.57,,126.059,6.992,15.4,10,,35,20.8,6.9,0.2,,,,,,
913072,ISC-GEM,1918,2,13,6,7,16.52,,117.004,23.609,10.5,10,,15,25,7.37,0.42,,,,,,
913138,ISC-GEM,1918,5,4,6,6,11.45,,120.041,21.569,18.5,11.3,,15,7.9,6.37,0.51,,,,,,
913190,ISC-GEM,1918,7,1,6,8,35.35,,126.478,8.945,18.9,10.6,,35,15.8,6.75,0.2,,,,,,
913230,ISC-GEM,1918,8,15,12,18,24.83,,123.994,5.538,18.4,10.5,,20,25,8.3,0.4,,,,,,
913231,ISC-GEM,1918,8,15,15,26,20.92,,124.261,5.213,25,14.1,,35,25,6.45,0.2,,,,,,
913232,ISC-GEM,1918,8,15,17,30,11.21,,125.751,5.232,13.6,10.3,,15,23.1,6.74,0.51,,,,,,
913233,ISC-GEM,1918,8,16,3,25,40.63,,124.671,5.382,20.1,10.1,,35,25,6,0.2,,,,,,
913235,ISC-GEM,1918,8,16,8,35,52.22,,123.726,6.02,23.4,11.4,,35,25.9,6.29,0.2,,,,,,
913256,ISC-GEM,1918,9,5,7,5,34.56,,125.465,5.501,29.2,11.2,,15,25,6.11,0.39,,,,,,
912699,ISC-GEM,1919,1,1,1,33,50.26,,126.526,6.808,12.3,8.3,,35,32.9,7.21,0.41,,,,,,
912745,ISC-GEM,1919,3,16,7,33,21.22,,126.416,8.391,17.1,9.2,,60,31.1,6.63,0.44,,,,,,
912747,ISC-GEM,1919,3,21,1,2,43.8,,120.049,14.323,22.2,18.1,,35,11,6.68,0.2,,,,,,
912960,ISC-GEM,1919,9,26,9,6,55.91,,119.987,17.519,18.1,12.3,,35,19.7,6.71,0.27,,,,,,
912961,ISC-GEM,1919,9,26,19,39,43.57,,124.214,6.864,13.7,9.5,,35,25,6.6,0.2,,,,,,
913020,ISC-GEM,1919,12,20,19,34,5.01,,121.845,22.779,14.1,12.5,,15,7,6.78,0.2,,,,,,
913021,ISC-GEM,1919,12,20,20,37,34.18,,121.787,22.529,12.3,7.1,,20,11.2,7.4,0.28,,,,,,
912485,ISC-GEM,1920,5,7,5,40,51.54,,126.791,6.804,15.8,9.1,,35,13.8,6.92,0.38,,,,,,
912496,ISC-GEM,1920,5,19,3,10,53.19,,119.305,2.511,20.7,10.6,,35,25,6.26,0.29,,,,,,
912519,ISC-GEM,1920,6,5,4,21,35.17,,121.954,23.688,8.9,6.6,,20,9.8,8.23,0.33,,,,,,
912572,ISC-GEM,1920,8,3,3,1,59.24,,127.892,5.901,21.2,10.7,,15,25,6.28,0.2,,,,,,
912574,ISC-GEM,1920,8,5,19,1,22.57,,122.63,19.596,49.1,26.6,,15,25,5.81,0.2,,,,,,
912164,ISC-GEM,1921,2,14,1,0,51.92,,128.892,5.146,32.4,11.9,,15,25,6.32,0.21,,,,,,
912199,ISC-GEM,1921,4,2,9,36,52.63,,124.821,23.879,12.7,7.6,,15,8.2,6.95,0.42,,,,,,
912236,ISC-GEM,1921,5,21,8,42,12.61,,125.635,12.67,20,11.3,,35,11.1,6.5,0.43,,,,,,
912359,ISC-GEM,1921,11,7,15,59,53.22,,126.849,7.145,16.6,10,,35,13.8,6.81,0.48,,,,,,
912362,ISC-GEM,1921,11,11,18,36,18.34,,127.151,7.452,15.9,7.9,,15,16.3,7.44,0.21,,,,,,
911859,ISC-GEM,1922,4,7,15,58,19.95,,120.326,22.94,12.8,7.8,,15,5.9,6.07,0.31,,,,,,
911905,ISC-GEM,1922,5,22,18,4,47.83,,120.227,23.842,15.5,8.4,,15,7.7,6.08,0.59,,,,,,
