eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic

610548604,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1905,5,31,18,23,32.75,,120.203,18.895,132.9,24.9,,15.0,5.0,6.8,0.46,
610548608,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1905,7,16,18,46,55.43,,124.03,9.386,274.2,83.8,,35.0,32.0,6.06,0.51,
610548621,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1905,12,10,18,9,58.89,,125.858,13.445,32.0,18.4,,15.0,6.3,6.8,0.2,
16957889,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1906,3,16,22,42,25.11,,120.51,23.56,,,,10.0,6.8,6.89,0.39,
16957892,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1906,3,26,3,28,39.05,,121.603,22.364,30.2,11.3,,15.0,12.3,6.13,0.2,
16957904,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1906,4,13,19,17,48.21,,120.463,23.598,27.4,13.2,,15.0,6.8,6.99,0.39,
16957903,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1906,4,13,23,52,1.24,,120.64,23.562,67.7,15.0,,15.0,6.8,6.55,0.2,
16957908,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1906,6,19,11,22,36.5,,122.582,19.008,28.0,15.4,,15.0,25.0,7.09,0.3,
610548662,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1906,10,10,12,52,37.65,,126.695,8.825,59.8,32.3,,35.0,15.8,6.59,0.23,
610548664,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1906,10,11,5,10,53.69,,123.56,10.078,82.6,23.0,,15.0,9.7,6.48,0.68,
16957926,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1906,10,17,9,42,5.45,,120.159,19.564,143.3,44.6,,15.0,7.2,6.86,0.2,
914258,GUTE,GUTE|PAS-Ms,1907,3,29,20,46,30.0,,122.0,3.0,,,,500.0,,7.2,0.2,
