eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic,Unnamed: 20
877990,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1960,1,12,1,52,40.29,,122.323,23.401,5.8,4.4,,10.0,12.8,5.84,0.2,,877990|ISC-GEM|5.84|Mw || 05957756|ISC|5.60|MS || 05957756|ISC|5.60|MS
879799,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1960,7,14,10,27,9.01,,127.48,4.849,6.9,5.0,,60.0,4.9,5.99,0.2,,879799|ISC-GEM|5.99|Mw || 05957950|ISC|5.80|MS || 05957950|ISC|5.80|MS
880323,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1960,9,14,0,34,28.67,,122.293,16.79,7.7,6.3,,35.0,24.2,5.56,0.7,,880323|ISC-GEM|5.56|Mw
880356,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1960,9,19,3,39,39.42,,119.709,15.724,6.3,5.2,,35.0,13.3,5.89,0.44,,880356|ISC-GEM|5.89|Mw || 05958012|ISC|5.70|MS || 05958012|ISC|5.70|MS
880993,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1960,12,14,23,51,30.01,,126.249,2.999,6.1,4.0,,65.0,5.0,6.31,0.2,,880993|ISC-GEM|6.31|Mw || 05958080|ISC|6.20|MS || 05958080|ISC|6.20|MS
881019,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1960,12,18,18,20,48.95,,125.987,8.668,10.1,6.6,,35.0,26.6,5.84,0.2,,881019|ISC-GEM|5.84|Mw || 05958081|ISC|5.60|MS || 05958081|ISC|5.60|MS
876599,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1961,5,19,16,37,26.44,,123.637,23.686,6.1,5.0,,35.0,7.1,5.93,0.2,,876599|ISC-GEM|5.93|Mw || 05958204|ISC|5.80|MS || 05958204|ISC|5.80|MS
17290472,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1961,6,19,1,45,24.28,,121.886,12.52,8.1,5.9,,25.0,13.5,5.99,0.2,,17290472|ISC-GEM|5.99|Mw || 05958237|ISC|5.80|MS || 05958237|ISC|5.80|MS
876974,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1961,7,13,21,44,34.94,,122.704,22.989,6.4,5.5,,25.0,11.1,5.94,0.22,,876974|ISC-GEM|5.94|Mw || 05958259|ISC|5.80|MS || 05958259|ISC|5.80|MS
876979,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1961,7,15,0,17,50.54,,120.641,13.302,10.6,7.0,,25.0,3.9,5.93,0.24,,876979|ISC-GEM|5.93|Mw || 05958260|ISC|5.80|MS || 05958260|ISC|5.80|MS
17291103,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1961,10,23,14,39,37.41,,126.665,3.679,6.5,4.2,,15.0,19.1,6.19,0.28,,17291103|ISC-GEM|6.19|Mw || 05958344|ISC|6.10|MS || 05958344|ISC|6.10|MS
874313,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,3,2,13,3,2.5,,126.606,5.508,8.5,5.3,,25.0,24.0,5.91,0.23,,874313|ISC-GEM|5.91|Mw || 05958418|ISC|5.70|MS || 05958418|ISC|5.70|MS
874348,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,3,11,19,19,10.75,,126.586,8.851,6.0,4.2,,44.6,5.3,6.3,0.48,,874348|ISC-GEM|6.30|Mw || 05958424|ISC|6.30|MS || 05958424|ISC|6.30|MS
17291518,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,3,18,20,18,55.77,,114.639,23.82,5.6,5.0,,15.0,25.0,6.0,0.3,,17291518|ISC-GEM|6.00|Mw || 05958431|ISC|5.90|MS || 05958431|ISC|5.90|MS
17292081,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,6,30,19,29,53.53,,122.221,16.313,6.7,5.4,,20.0,20.7,5.88,0.58,,17292081|ISC-GEM|5.88|Mw || 05958506|ISC|5.70|MS || 05958506|ISC|5.70|MS
875035,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,7,11,12,40,32.85,,122.177,11.916,8.0,5.0,,25.0,3.1,5.92,0.23,,875035|ISC-GEM|5.92|Mw || 05958515|ISC|5.70|MS || 05958515|ISC|5.70|MS
875037,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,7,13,3,31,54.66,,122.553,9.811,8.8,5.7,,25.0,3.7,5.89,0.2,,875037|ISC-GEM|5.89|Mw || 05958516|ISC|5.90|MS || 05958516|ISC|5.90|MS
875110,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,7,31,5,13,7.56,,120.82,18.805,7.3,6.5,,35.0,13.6,5.93,0.2,,875110|ISC-GEM|5.93|Mw || 05958528|ISC|5.80|MS || 05958528|ISC|5.80|MS
17292251,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,8,17,5,4,32.64,,121.604,10.478,5.7,4.0,,20.0,3.9,5.97,0.26,,17292251|ISC-GEM|5.97|Mw || 05958539|ISC|5.80|MS || 05958539|ISC|5.80|MS
871735,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1963,1,24,22,27,33.75,,126.864,8.0,8.8,5.2,,50.0,15.6,5.95,0.36,,871735|ISC-GEM|5.95|Mw || 05958652|ISC|5.80|MS || 05958652|ISC|5.80|MS
17293446,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1963,3,14,8,0,14.08,,120.117,18.916,6.0,4.8,,25.0,4.7,5.86,0.29,,17293446|ISC-GEM|5.86|Mw || 05958689|ISC|5.70|MS || 05958689|ISC|5.70|MS
872024,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1963,3,24,9,43,19.5,,125.677,8.925,9.0,6.1,,35.0,4.8,5.84,0.2,,872024|ISC-GEM|5.84|Mw || 05958695|ISC|5.60|MS || 05958695|ISC|5.60|MS
17293721,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1963,5,8,15,24,0.84,,125.555,5.274,9.5,6.0,,60.0,6.3,5.69,0.33,,17293721|ISC-GEM|5.69|Mw || 05958751|ISC|5.40|MS || 05958751|ISC|5.40|MS
