eventID,originID,magnitudeID,value,sigma,magType,magAgency
913996,1961426,1961426|PAS|6.80|MS,6.8,0.0,MS,PAS
914014,02318859,02318859|P&S|7.50|Ms,7.5,0.0,Ms,P&S
914014,02318859,02318859|AN1|7.60|Ms,7.6,0.0,Ms,AN1
914014,02318859,02318859|P&S|7.60|Mw,7.6,0.0,Mw,P&S
914014,02318859,02318859|B&D|7.90|UK,7.9,0.0,UK,B&D
914014,05951229,05951229|ISC|7.50|MS,7.5,0.2,MS,ISC
913884,02318867,02318867|BJI|7.70|mb,7.7,0.0,mb,BJI
913884,02318867,02318867|UTSU|7.40|Mj,7.4,0.0,Mj,UTSU
913884,02318867,02318867|B&D|7.50|UK,7.5,0.0,UK,B&D
913884,05951232,05951232|ISC|7.40|MS,7.4,0.1,MS,ISC
913886,02318869,02318869|ABE1|7.10|mB,7.1,0.0,mB,ABE1
913886,02318869,02318869|ABE1|6.60|Ms,6.6,0.0,Ms,ABE1
913886,02318869,02318869|BJI|6.60|Ms,6.6,0.0,Ms,BJI
913886,02318869,02318869|GUTE|7.00|UK,7.0,0.0,UK,GUTE
913886,1961278,1961278|PAS|7.00|MS,7.0,0.0,MS,PAS
913940,02318883,02318883|BJI|6.80|Ms,6.8,0.0,Ms,BJI
913940,02318883,02318883|GUTE|6.60|UK,6.6,0.0,UK,GUTE
913940,1961349,1961349|PAS|6.80|MS,6.8,0.0,MS,PAS
913779,02318907,02318907|UTSU|6.50|Mj,6.5,0.0,Mj,UTSU
913390,02318932,02318932|BJI|6.50|Ms,6.5,0.0,Ms,BJI
913391,02318933,02318933|BJI|6.50|Ms,6.5,0.0,Ms,BJI
913057,1960336,1960336|PAS|7.50|MS,7.5,0.0,MS,PAS
913057,02318958,02318958|ABE1|7.20|mB,7.2,0.0,mB,ABE1
913057,02318958,02318958|GUTE|7.50|UK,7.5,0.0,UK,GUTE
913057,02318958,02318958|B&D|7.50|UK,7.5,0.0,UK,B&D
913057,05951262,05951262|ISC|6.90|MS,6.9,0.2,MS,ISC
913072,1960354,1960354|PAS|7.30|MS,7.3,0.0,MS,PAS
913072,02318959,02318959|ABE1|7.20|mB,7.2,0.0,mB,ABE1
913072,02318959,02318959|P&S|7.20|Ms,7.2,0.0,Ms,P&S
913072,02318959,02318959|ABE1|7.40|Ms,7.4,0.0,Ms,ABE1
913072,02318959,02318959|P&S|7.20|Mw,7.2,0.0,Mw,P&S
913072,02318959,02318959|B&D|7.30|UK,7.3,0.0,UK,B&D
913072,05951263,05951263|ISC|7.40|MS,7.4,0.1,MS,ISC
913190,05951275,05951275|ISC|6.50|MS,6.5,0.4,MS,ISC
913230,1960533,1960533|PAS|8.20|MS,8.2,0.0,MS,PAS
913230,02318971,02318971|ABE1|7.60|mB,7.6,0.0,mB,ABE1
913230,02318971,02318971|P&S|7.80|Ms,7.8,0.0,Ms,P&S
913230,02318971,02318971|ABE1|8.00|Ms,8.0,0.0,Ms,ABE1
913230,02318971,02318971|P&S|8.20|Mw,8.2,0.0,Mw,P&S
913230,02318971,02318971|B&D|8.30|UK,8.3,0.0,UK,B&D
913230,05951282,05951282|ISC|8.00|MS,8.0,0.2,MS,ISC
913231,05951283,05951283|ISC|6.40|MS,6.4,0.2,MS,ISC
913232,1960536,1960536|PAS|7.00|MS,7.0,0.0,MS,PAS
913232,02318972,02318972|ABE1|6.90|mB,6.9,0.0,mB,ABE1
913232,02318972,02318972|ABE1|6.90|Ms,6.9,0.0,Ms,ABE1
913232,02318972,02318972|GUTE|7.00|UK,7.0,0.0,UK,GUTE
913232,02318972,02318972|B&D|7.00|UK,7.0,0.0,UK,B&D
913232,05951284,05951284|ISC|6.90|MS,6.9,0.2,MS,ISC
913233,05951285,05951285|ISC|5.90|MS,5.9,0.2,MS,ISC
912699,1959945,1959945|PAS|7.40|MS,7.4,0.0,MS,PAS
912699,02318988,02318988|ABE1|7.40|mB,7.4,0.0,mB,ABE1
912699,02318988,02318988|P&S|7.00|Ms,7.0,0.0,Ms,P&S
912699,02318988,02318988|ABE1|7.20|Ms,7.2,0.0,Ms,ABE1
912699,02318988,02318988|P&S|7.10|Mw,7.1,0.0,Mw,P&S
912699,02318988,02318988|B&D|7.40|UK,7.4,0.0,UK,B&D
912699,05951305,05951305|ISC|7.00|MS,7.0,0.2,MS,ISC
912747,1960000,1960000|PAS|6.50|MS,6.5,0.0,MS,PAS
912770,1960026,1960026|PAS|6.40|MS,6.4,0.0,MS,PAS
912770,05951315,05951315|ISC|6.60|MS,6.6,0.3,MS,ISC
912961,05951332,05951332|ISC|6.50|MS,6.5,0.3,MS,ISC
913020,02319005,02319005|UTSU|7.10|Mj,7.1,0.0,Mj,UTSU
913021,1960297,1960297|PAS|7.00|MS,7.0,0.0,MS,PAS
913021,02319006,02319006|UTSU|7.30|Mj,7.3,0.0,Mj,UTSU
913021,02319006,02319006|ABE1|7.00|Ms,7.0,0.0,Ms,ABE1
913021,02319006,02319006|GUTE|7.00|UK,7.0,0.0,UK,GUTE
913021,02319006,02319006|B&D|7.00|UK,7.0,0.0,UK,B&D
913021,05951336,05951336|ISC|7.00|MS,7.0,0.1,MS,ISC
912485,05951347,05951347|ISC|6.80|MS,6.8,0.3,MS,ISC
912519,1959744,1959744|PAS|8.00|MS,8.0,0.0,MS,PAS
912519,02319016,02319016|ABE1|7.80|mB,7.8,0.0,mB,ABE1
912519,02319016,02319016|UTSU|7.80|Mj,7.8,0.0,Mj,UTSU
912519,02319016,02319016|P&S|7.80|Ms,7.8,0.0,Ms,P&S
912519,02319016,02319016|ABE1|8.00|Ms,8.0,0.0,Ms,ABE1
912519,02319016,02319016|P&S|7.90|Mw,7.9,0.0,Mw,P&S
912519,05951352,05951352|ISC|8.10|MS,8.1,0.1,MS,ISC
912572,1959801,1959801|PAS|6.80|MS,6.8,0.0,MS,PAS
912572,02319017,02319017|GUTE|6.60|UK,6.6,0.0,UK,GUTE
