620927790,Talaud Islands,2021-07-03,04:47:54.750000,IDC|IDC-Ms,126.8165,4.6486,0.0,4.4,0.236,0,0,IDC|ISC-GEM;ISC-EHB;EHB;ISC;IDC;NEIC;NEIS;USCGS;NIED;GCMT;GUTE;PAS,IDC-Ms-isc_ms-isc_ms_sigma|ISC-GEM-Mw-iscgem_mw-iscgem_mw_sigma;GCMT-Mw-gcmt_mw-gcmt_mw_sigma;NEIC-Mw-neic_mw-neic_mw_sigma;NIED-Mw-nied_mw-nied_mw_sigma;ISC-Ms-isc_ms-isc_ms_sigma;IDC-Ms-isc_ms-isc_ms_sigma;NEIC-Ms-neic_ms-neic_ms_sigma;USCGS-Ms-neic_ms-neic_ms_sigma;NEIC-Msz-neic_msz-neic_msz_sigma;NEIC-Mb-neic_mb-neic_mb_sigma;USCGS-Mb-neic_mb-neic_mb_sigma;ISC-Mb-isc_mb-isc_mb_sigma;PAS-Ms-pas_ms-pas_ms_sigma
620927802,Mindoro,0,0,IDC|ISC-GEM;ISC-EHB;EHB;ISC;IDC;NEIC;NEIS;USCGS;NIED;GCMT;GUTE;PAS,NEIC-Mb-neic_mb-neic_mb_sigma|ISC-GEM-Mw-iscgem_mw-iscgem_mw_sigma;GCMT-Mw-gcmt_mw-gcmt_mw_sigma;NEIC-Mw-neic_mw-neic_mw_sigma;NIED-Mw-nied_mw-nied_mw_sigma;ISC-Ms-isc_ms-isc_ms_sigma;IDC-Ms-isc_ms-isc_ms_sigma;NEIC-Ms-neic_ms-neic_ms_sigma;USCGS-Ms-neic_ms-neic_ms_sigma;NEIC-Msz-neic_msz-neic_msz_sigma;NEIC-Mb-neic_mb-neic_mb_sigma;USCGS-Mb-neic_mb-neic_mb_sigma;ISC-Mb-isc_mb-isc_mb_sigma;PAS-Ms-pas_ms-pas_ms_sigma
620927804,Halmahera,2021-07-03,11:26:48.880000,IDC|IDC-Ms,128.3436,2.3404,0.0,3.91,0.236,0,0,IDC|ISC-GEM;ISC-EHB;EHB;ISC;IDC;NEIC;NEIS;USCGS;NIED;GCMT;GUTE;PAS,IDC-Ms-isc_ms-isc_ms_sigma|ISC-GEM-Mw-iscgem_mw-iscgem_mw_sigma;GCMT-Mw-gcmt_mw-gcmt_mw_sigma;NEIC-Mw-neic_mw-neic_mw_sigma;NIED-Mw-nied_mw-nied_mw_sigma;ISC-Ms-isc_ms-isc_ms_sigma;IDC-Ms-isc_ms-isc_ms_sigma;NEIC-Ms-neic_ms-neic_ms_sigma;USCGS-Ms-neic_ms-neic_ms_sigma;NEIC-Msz-neic_msz-neic_msz_sigma;NEIC-Mb-neic_mb-neic_mb_sigma;USCGS-Mb-neic_mb-neic_mb_sigma;ISC-Mb-isc_mb-isc_mb_sigma;PAS-Ms-pas_ms-pas_ms_sigma
620927810,Mindanao,0,0,IDC|ISC-GEM;ISC-EHB;EHB;ISC;IDC;NEIC;NEIS;USCGS;NIED;GCMT;GUTE;PAS,NA
620927847,Celebes Sea,2021-07-04,01:25:37.840000,IDC|IDC-Ms,122.554,2.102,0.0,5.57,0.161,0,0,NA,NA
620927856,Mindanao,0,0,IDC|ISC-GEM;ISC-EHB;EHB;ISC;IDC;NEIC;NEIS;USCGS;NIED;GCMT;GUTE;PAS,IDC-Ms-isc_ms-isc_ms_sigma|ISC-GEM-Mw-iscgem_mw-iscgem_mw_sigma;GCMT-Mw-gcmt_mw-gcmt_mw_sigma;NEIC-Mw-neic_mw-neic_mw_sigma;NIED-Mw-nied_mw-nied_mw_sigma;ISC-Ms-isc_ms-isc_ms_sigma;IDC-Ms-isc_ms-isc_ms_sigma;NEIC-Ms-neic_ms-neic_ms_sigma;USCGS-Ms-neic_ms-neic_ms_sigma;NEIC-Msz-neic_msz-neic_msz_sigma;NEIC-Mb-neic_mb-neic_mb_sigma;USCGS-Mb-neic_mb-neic_mb_sigma;ISC-Mb-isc_mb-isc_mb_sigma;PAS-Ms-pas_ms-pas_ms_sigma
620927864,Mindanao,0,0,IDC|ISC-GEM;ISC-EHB;EHB;ISC;IDC;NEIC;NEIS;USCGS;NIED;GCMT;GUTE;PAS,NA
620927871,Philippine Islands region,0,0,NA,NA
620927887,Talaud Islands,2021-07-04,16:28:26.320000,IDC|NEIC-Mb,125.9811,3.2233,0.0,4.32,0.306,0,0,IDC|ISC-GEM;ISC-EHB;EHB;ISC;IDC;NEIC;NEIS;USCGS;NIED;GCMT;GUTE;PAS,IDC-Ms-isc_ms-isc_ms_sigma|ISC-GEM-Mw-iscgem_mw-iscgem_mw_sigma;GCMT-Mw-gcmt_mw-gcmt_mw_sigma;NEIC-Mw-neic_mw-neic_mw_sigma;NIED-Mw-nied_mw-nied_mw_sigma;ISC-Ms-isc_ms-isc_ms_sigma;IDC-Ms-isc_ms-isc_ms_sigma;NEIC-Ms-neic_ms-neic_ms_sigma;USCGS-Ms-neic_ms-neic_ms_sigma;NEIC-Msz-neic_msz-neic_msz_sigma;NEIC-Mb-neic_mb-neic_mb_sigma;USCGS-Mb-neic_mb-neic_mb_sigma;ISC-Mb-isc_mb-isc_mb_sigma;PAS-Ms-pas_ms-pas_ms_sigma
620733585,Northern Molucca Sea,2021-07-04,16:39:21.160000,IDC|IDC-Ms,126.2698,1.3197,0.0,4.46,0.147,0,0,IDC|ISC-GEM;ISC-EHB;EHB;ISC;IDC;NEIC;NEIS;USCGS;NIED;GCMT;GUTE;PAS,NA
620927889,Mindanao,2021-07-04,17:04:42.369999,IDC|NEIC-Mb,126.4562,9.7041,53.0,4.56,0.366,0,0,NA,NA
620927897,Talaud Islands,2021-07-04,19:20:48.380000,IDC|IDC-Ms,126.6634,3.5791,46.0,4.28,0.192,0,0,IDC|ISC-GEM;ISC-EHB;EHB;ISC;IDC;NEIC;NEIS;USCGS;NIED;GCMT;GUTE;PAS,NA
620927908,Celebes Sea,2021-07-04,22:13:40.969999,IDC|NEIC-Mb,122.6626,3.2036,572.0,4.44,0.306,0,0,NA,NA
620927915,Halmahera,2021-07-04,23:53:02.899999,IDC|NEIC-Mb,128.6844,2.7436,289.0,4.32,0.306,0,0,IDC|ISC-GEM;ISC-EHB;EHB;ISC;IDC;NEIC;NEIS;USCGS;NIED;GCMT;GUTE;PAS,NA
620734181,Taiwan,2021-07-05,15:12:33.929999,IDC|NIED-Mw,121.6704,23.8451,45.0,4.1,0.11,0,0,NA,NA
620927983,Southwestern Ryukyu Islands,2021-07-05,19:26:13.449999,IDC|IDC-Ms,124.0549,23.4262,0.0,4.4,0.236,0,0,IDC|ISC-GEM;ISC-EHB;EHB;ISC;IDC;NEIC;NEIS;USCGS;NIED;GCMT;GUTE;PAS,NEIC-Mb-neic_mb-neic_mb_sigma|ISC-GEM-Mw-iscgem_mw-iscgem_mw_sigma;GCMT-Mw-gcmt_mw-gcmt_mw_sigma;NEIC-Mw-neic_mw-neic_mw_sigma;NIED-Mw-nied_mw-nied_mw_sigma;ISC-Ms-isc_ms-isc_ms_sigma;IDC-Ms-isc_ms-isc_ms_sigma;NEIC-Ms-neic_ms-neic_ms_sigma;USCGS-Ms-neic_ms-neic_ms_sigma;NEIC-Msz-neic_msz-neic_msz_sigma;NEIC-Mb-neic_mb-neic_mb_sigma;USCGS-Mb-neic_mb-neic_mb_sigma;ISC-Mb-isc_mb-isc_mb_sigma;PAS-Ms-pas_ms-pas_ms_sigma
