eventID,datetime,year,month,day,hour,minute,second,latitude,longitude,depth,magnitude,location,magnitudeType,event_type
61204996,2015-04-01 04:04:00+00:00,2015,04,01,04,04,00,18.78,120.82,11,4.5,022 km N 9° E of Pagudpud (Ilocos Norte),Ms,TECTONIC
61208604,2015-04-01 04:04:00+00:00,2015,04,01,04,04,00,18.78,120.82,11,4.5,022 km N 9° E of Pagudpud (Ilocos Norte),Ms,TECTONIC
61217630,2017-07-01 05:11:37+00:00,2017,07,01,05,11,37,2.79,127,207,4.5,335 km S 30° E of Sarangani (Davao Occidental),Ms,TECTONIC
61218044,2017-06-01 13:58:24+00:00,2017,06,01,13,58,24,4.74,128.34,72,4.5,328 km S 52° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
61236472,2019-11-01 18:38:36+00:00,2019,11,01,18,38,36,6.78,125,4,4.5,020 km S 66° E of Tulunan (Cotabato),Ms,TECTONIC
61241979,2020-08-01 17:38:19+00:00,2020,08,01,17,38,19,3.54,125.61,105,4.5,210 km S 04° E of Sarangani (Davao Occidental),Ms,TECTONIC
61269459,2022-12-01 03:53:46+00:00,2022,12,01,03,53,46,3.06,126.87,32,4.5,306 km S 32° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
61284179,2023-07-01 04:42:11+00:00,2023,07,01,04,42,11,10.31,127.09,16,4.5,116 km N 74° E of Burgos (Surigao Del Norte),Mw,TECTONIC
61203708,2015-02-02 15:13:00+00:00,2015,02,02,15,13,00,14.23,124.75,3,6.2,091 km N 40 ° E of Virac (Catanduanes),Mw,TECTONIC
61205198,2015-02-02 15:13:00+00:00,2015,02,02,15,13,00,14.23,124.75,3,6.2,091 km N 40 ° E of Virac (Catanduanes),Mw,TECTONIC
61200593,2015-09-02 01:18:00+00:00,2015,09,02,01,18,00,4.23,124.75,312,6.1,155 km S 31° W of Sarangani (Davao Occidental),Mw,TECTONIC
61201877,2015-09-02 01:18:00+00:00,2015,09,02,01,18,00,4.23,124.75,312,6.1,155 km S 31° W of Sarangani (Davao Occidental),Mw,TECTONIC
61202819,2015-09-02 01:18:00+00:00,2015,09,02,01,18,00,4.23,124.75,312,6.1,155 km S 31° W of Sarangani (Davao Occidental),Mw,TECTONIC
61204309,2015-09-02 01:18:00+00:00,2015,09,02,01,18,00,4.23,124.75,312,6.1,155 km S 31° W of Sarangani (Davao Occidental),Mw,TECTONIC
61205949,2015-09-02 01:18:00+00:00,2015,09,02,01,18,00,4.23,124.75,312,6.1,155 km S 31° W of Sarangani (Davao Occidental),Mw,TECTONIC
61206877,2015-09-02 01:18:00+00:00,2015,09,02,01,18,00,4.23,124.75,312,6.1,155 km S 31° W of Sarangani (Davao Occidental),Mw,TECTONIC
